AuctionID,ItemID,,MoneyType,Enable,Overlap,AuctionPrice,BaseRaisePrice,SellPrice,ServerLevelLimit,ShowIndex,LocalizationArea
拍卖ID(道具ID有可能重复),道具ID,道具名称(策划用),道具类型(1喵喵果实道具2Zeny币道具),是否有效(1有效0无效),拍卖上架的堆叠数量(不能超过道具本身的堆叠上限),拍卖起始价格,拍卖基础加价,一口价价格，0表示不能一口价,服务器等级限制,显示类型(对应AuctionIndexTable表的分类),本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）
100001,142030,雷击术,1,1,1,50,5,500,0,100,
100002,142040,地震术,1,1,1,100,10,1000,0,101,
100003,142050,火球术,2,1,1,500,50,5000,0,102,
100004,142060,雷爆术,2,1,1,1000,100,10000,0,103,
100005,142070,狂击,2,1,1,1500,150,15000,60,104,
100006,4010025,弓箭哥布灵卡片,2,1,1,1,1,1,0,101,
100007,4010027,直升机哥布灵卡片,2,1,1,1,1,1,0,101,
100008,4010026,喷射哥布灵卡片,2,1,1,1,1,1,0,101,
100009,4010028,沙漠之狼卡片,2,1,1,1,1,1,0,101,
100010,4010040,米洛斯卡片,2,1,1,1,1,1,0,101,
100011,4010031,黑蛇卡片,2,1,1,1,1,1,0,101,
100012,4010056,犬妖弓箭手卡片,2,1,1,1,1,1,0,101,
100013,4010057,犬妖首领卡片,2,1,1,1,1,1,0,101,
100014,4020003,达拉蛙卡片,2,1,1,1,1,1,0,102,
100015,4020010,锹形虫卡片,2,1,1,1,1,1,0,102,
100016,4030013,马克卡片,2,1,1,1,1,1,0,103,
100017,4030020,异变鱼卡片,2,1,1,1,1,1,0,103,
100018,4030015,泥人卡片,2,1,1,1,1,1,0,103,
100019,4030021,土人卡片,2,1,1,1,1,1,0,103,
100020,4030012,艾吉欧蜈蚣卡片,2,1,1,1,1,1,0,103,
100021,4030016,帕莎纳卡片,2,1,1,1,1,1,0,103,
100022,4040017,兽人婴儿卡片,2,1,1,1,1,1,0,104,
100023,4040021,九尾狐卡片,2,1,1,1,1,1,0,104,
100024,4050010,狂暴月夜猫卡片,2,1,1,1,1,1,0,105,
100025,4060016,剑鱼卡片,2,1,1,1,1,1,0,106,
100026,4070005,基尔瑟卡片,2,1,1,1,1,1,0,107,
100027,4070013,梦魇卡片,2,1,1,1,1,1,0,107,
100028,4070002,小恶魔卡片,2,1,1,1,1,1,0,107,
100029,4070008,马尔杜克卡片,2,1,1,1,1,1,0,107,
100030,4070006,狂暴蚁后卡片,2,1,1,1,1,1,0,107,
100031,4040014,波利之王卡片,2,1,1,1,1,1,0,104,
100032,4030006,幽灵波利卡片,2,1,1,1,1,1,0,103,
100033,4040015,蝗虫之王卡片,2,1,1,1,1,1,0,104,
100034,4040016,蛙王卡片,2,1,1,1,1,1,0,104,
100035,4040009,龙蝇卡片,2,1,1,1,1,1,0,104,
100036,4010054,暗黑祭司卡片,2,1,1,1,1,1,0,101,
100037,5010011,封印的海盗之王卡片,2,1,1,1,1,1,0,201,
100038,5010037,封印的皮里恩卡片,2,1,1,1,1,1,0,201,
100039,5010053,封印的德古拉伯爵卡片,2,1,1,1,1,1,0,201,
100040,5010058,封印的死灵卡片,2,1,1,1,1,1,0,201,
100041,5010018,封印的巴风特卡片,2,1,1,1,1,1,0,201,
100042,5020002,封印的黄金虫卡片,2,1,1,1,1,1,0,202,
100043,5020004,封印的蚁后卡片,2,1,1,1,1,1,0,202,
100044,5030007,封印的天使波利卡片,2,1,1,1,1,1,0,203,
100045,5030019,封印的兽人酋长卡片,2,1,1,1,1,1,0,203,
100046,5040003,封印的恶魔波利卡片,2,1,1,1,1,1,0,204,
100047,5050009,封印的虎王卡片,2,1,1,1,1,1,0,205,
100048,5050011,封印的月夜猫卡片,2,1,1,1,1,1,0,205,
100049,5060019,封印的俄塞里斯卡片,2,1,1,1,1,1,0,206,
100050,5070007,封印的蜂后卡片,2,1,1,1,1,1,0,207,
100051,5070009,封印的法老王卡片,2,1,1,1,1,1,0,207,
100052,5070012,封印的兽人英雄卡片,2,1,1,1,1,1,0,207,
100053,4020003,达拉蛙卡片,2,1,1,1,1,1,45,102,
100054,4020010,锹形虫卡片,2,1,1,1,1,1,45,102,
100055,4040017,兽人婴儿卡片,2,1,1,1,1,1,55,104,
100056,4070005,基尔瑟卡片,2,1,1,1,1,1,45,107,
100057,4060016,剑鱼卡片,2,1,1,1,1,1,70,106,
100058,4030013,马克卡片,2,1,1,1,1,1,75,103,
100059,4030020,异变鱼卡片,2,1,1,1,1,1,75,103,
100060,4030015,泥人卡片,2,1,1,1,1,1,60,103,
100061,4070013,梦魇卡片,2,1,1,1,1,1,80,107,
100062,4010031,黑蛇卡片,2,1,1,1,1,1,75,101,
100063,4030021,土人卡片,2,1,1,1,1,1,75,103,
100064,4010010,海葵卡片,2,1,1,1,1,1,45,101,
100065,4010046,邪骸矿工卡片,2,1,1,1,1,1,65,101,
100066,4010030,邪骸士兵卡片,2,1,1,1,1,1,55,101,
100067,4010029,邪骸弓箭手卡片,2,1,1,1,1,1,60,101,
100068,4010025,弓箭哥布灵卡片,2,1,1,1,1,1,60,101,
100069,4010027,直升机哥布灵卡片,2,1,1,1,1,1,55,101,
100070,4010026,喷射哥布灵卡片,2,1,1,1,1,1,65,101,
100071,4010040,米洛斯卡片,2,1,1,1,1,1,60,101,
100072,4020017,蜗牛王卡片,2,1,1,1,1,1,0,102,
100073,4010060,君主魔碑卡片,2,1,1,1,1,1,0,101,
100074,4050013,地狱梦魇卡片,2,1,1,1,1,1,0,105,
100075,4010061,远古海神卡片,2,1,1,1,1,1,0,101,
100076,4070017,钢鬃巨熊卡片,2,1,1,1,1,1,0,107,
100077,4010062,深海人鱼卡片,2,1,1,1,1,1,0,101,
100078,4010063,狮鹫兽卡片,2,1,1,1,1,1,0,101,
100079,4040010,流浪之狼卡片,2,1,1,1,1,1,0,104,
100080,4010064,深海电鳗卡片,2,1,1,1,1,1,0,101,
100081,4010065,赛杜拉卡片,2,1,1,1,1,1,0,101,
100082,1170002,天使发圈图纸,2,1,1,1,1,1,0,301,
100083,1170003,黄金帽图纸,2,1,1,1,1,1,0,301,
100084,1170022,兽人英雄的头具图纸,2,1,1,1,1,1,0,301,
100085,1170005,恶魔发圈图纸,2,1,1,1,1,1,0,301,
100086,1170027,领导者头箍图纸,2,1,1,1,1,1,0,301,
100087,1170013,后冠图纸,2,1,1,1,1,1,0,301,
100088,1190002,愤怒的嘴图纸,2,1,1,1,1,1,0,301,
100089,1170012,黄金冠冕图纸,2,1,1,1,1,1,0,301,
100090,1170007,海盗船长帽图纸,2,1,1,1,1,1,0,301,
100091,1170019,王冠图纸,2,1,1,1,1,1,0,301,
100092,1200047,狮头面具图纸,2,1,1,1,1,1,0,301,
100093,1200012,学生帽图纸,2,1,1,1,1,1,0,301,
100094,1170024,菲力卡的头箍图纸,2,1,1,1,1,1,0,301,
100095,1200051,古代的金饰图纸,2,1,1,1,1,1,0,301,
100096,1200052,月夜猫帽子图纸,2,1,1,1,1,1,0,301,
100097,1170031,山羊头盔图纸,2,1,1,1,1,1,0,301,
100098,1170028,首领冠冕图纸,2,1,1,1,1,1,0,301,
100099,1200045,海盗匕首图纸,2,1,1,1,1,1,0,301,
100100,1190004,烟斗图纸,2,1,1,1,1,1,0,301,
100101,1200059,绵绵卡普拉图纸,2,1,1,1,1,1,0,301,
100102,4040015,蝗虫之王卡片,2,1,1,1,1,1,45,104,
100103,4040016,蛙王卡片,2,1,1,1,1,1,45,104,
100104,4040009,龙蝇卡片,2,1,1,1,1,1,45,104,
100105,4040014,波利之王卡片,2,1,1,1,1,1,45,104,
100106,4070017,钢鬃巨熊卡片,2,1,1,1,1,1,45,107,
100107,4020017,蜗牛王卡片,2,1,1,1,1,1,55,102,
100108,4010062,深海人鱼卡片,2,1,1,1,1,1,55,101,
100109,4010060,君主魔碑卡片,2,1,1,1,1,1,65,101,
100110,4040021,九尾狐卡片,2,1,1,1,1,1,75,104,
100111,4030012,艾吉欧蜈蚣卡片,2,1,1,1,1,1,75,103,
100112,4070008,马尔杜克卡片,2,1,1,1,1,1,80,107,
100113,4050010,狂暴月夜猫卡片,2,1,1,1,1,1,80,105,
100114,4010063,狮鹫兽卡片,2,1,1,1,1,1,80,101,
100115,4070006,狂暴蚁后卡片,2,1,1,1,1,1,85,107,
100116,4050013,地狱梦魇卡片,2,1,1,1,1,1,85,105,
100117,4030016,帕莎纳卡片,2,1,1,1,1,1,85,103,
100118,4010061,远古海神卡片,2,1,1,1,1,1,85,101,
100119,4010056,犬妖弓箭手卡片,2,1,1,1,1,1,90,101,
100120,4070002,小恶魔卡片,2,1,1,1,1,1,90,107,
100121,4010057,犬妖首领卡片,2,1,1,1,1,1,90,101,
100122,4040010,流浪之狼卡片,2,1,1,1,1,1,95,104,
100123,4010064,深海电鳗卡片,2,1,1,1,1,1,95,101,
100124,4010065,赛杜拉卡片,2,1,1,1,1,1,95,101,
100125,4010054,暗黑祭司卡片,2,1,1,1,1,1,95,101,
100126,1170002,天使发圈图纸,2,1,1,1,1,1,45,301,
100127,1170003,黄金帽图纸,2,1,1,1,1,1,45,301,
100128,1170022,兽人英雄的头具图纸,2,1,1,1,1,1,55,301,
100129,1170005,恶魔发圈图纸,2,1,1,1,1,1,50,301,
100130,1170027,领导者头箍图纸,2,1,1,1,1,1,60,301,
100131,1170013,后冠图纸,2,1,1,1,1,1,60,301,
100132,1190002,愤怒的嘴图纸,2,1,1,1,1,1,65,301,
100133,1170012,黄金冠冕图纸,2,1,1,1,1,1,70,301,
100134,1170007,海盗船长帽图纸,2,1,1,1,1,1,65,301,
100135,1170019,王冠图纸,2,1,1,1,1,1,75,301,
100136,1200047,狮头面具图纸,2,1,1,1,1,1,80,301,
100137,1200012,学生帽图纸,2,1,1,1,1,1,70,301,
100138,1170024,菲力卡的头箍图纸,2,1,1,1,1,1,80,301,
100139,1200051,古代的金饰图纸,2,1,1,1,1,1,85,301,
100140,1200052,月夜猫帽子图纸,2,1,1,1,1,1,80,301,
100141,1170031,山羊头盔图纸,2,1,1,1,1,1,90,301,
100142,1170028,首领冠冕图纸,2,1,1,1,1,1,90,301,
100143,1200045,海盗匕首图纸,2,1,1,1,1,1,65,301,
100144,1190004,烟斗图纸,2,1,1,1,1,1,70,301,
100145,1200059,绵绵卡普拉图纸,2,1,1,1,1,1,45,301,
100146,4070018,迷幻之王卡片,2,1,1,1,1,1,0,107,
100147,4020018,兽牙怪卡片,2,1,1,1,1,1,0,102,
100148,4060031,鹗枭首领卡片,2,1,1,1,1,1,0,106,
100149,4010067,艾斯恩魔女卡片,2,1,1,1,1,1,0,101,
100150,4010068,深渊骑士卡片,2,1,1,1,1,1,0,101,
100151,4020019,弑神者卡片,2,1,1,1,1,1,0,102,
100152,5060020,封印的鹗枭男爵卡片,2,1,1,1,1,1,0,206,
100153,5020005,封印的凯美拉卡片,2,1,1,1,1,1,0,203,
100154,5050012,封印的黑暗之王卡片,2,1,1,1,1,1,0,205,
100155,5010060,封印的血腥骑士卡片,2,1,1,1,1,1,0,201,
100156,4020020,爱丽丝女仆卡片,2,1,1,1,1,1,0,102,
100157,4040024,幽灵剑士卡片,2,1,1,1,1,1,0,104,
100158,4030027,暗神官卡片,2,1,1,1,1,1,0,103,
100159,1200063,男爵眼镜图纸,2,1,1,1,1,1,0,301,
100160,1200064,骸骨头盔图纸,2,1,1,1,1,1,0,301,
100161,1200065,骑士盾牌图纸,2,1,1,1,1,1,0,301,
100162,1200072,蛇狮头具图纸,2,1,1,1,1,1,0,301,
100163,4070018,迷幻之王卡片,2,1,1,1,1,1,95,107,
100164,4020018,兽牙怪卡片,2,1,1,1,1,1,95,102,
100165,4060031,鹗枭首领卡片,2,1,1,1,1,1,95,106,
100166,4010067,艾斯恩魔女卡片,2,1,1,1,1,1,95,101,
100167,4010068,深渊骑士卡片,2,1,1,1,1,1,95,101,
100168,4020019,弑神者卡片,2,1,1,1,1,1,95,102,
100169,4020020,爱丽丝女仆卡片,2,1,1,1,1,1,95,102,
100170,4040024,幽灵剑士卡片,2,1,1,1,1,1,95,104,
100171,4030027,暗神官卡片,2,1,1,1,1,1,95,103,
100172,1200063,男爵眼镜图纸,2,1,1,1,1,1,95,301,
100173,1200064,骸骨头盔图纸,2,1,1,1,1,1,95,301,
100174,1200065,骑士盾牌图纸,2,1,1,1,1,1,95,301,
100175,1200072,蛇狮头具图纸,2,1,1,1,1,1,95,301,
100176,4010074,玩具士兵卡片,2,1,1,1,1,1,0,101,
100177,4030033,巫婆卡片,2,1,1,1,1,1,0,103,
100178,4050017,钟怪卡片,2,1,1,1,1,1,0,105,
100179,4070022,钟塔守护者卡片,2,1,1,1,1,1,0,107,
100180,4010077,卡伦宝宝卡片,2,1,1,1,1,1,0,101,
100181,4030036,古钟魔卡片,2,1,1,1,1,1,0,103,
100182,4040026,长者魔导士卡片,2,1,1,1,1,1,0,104,
100183,4010079,玩具国王卡片,2,1,1,1,1,1,0,101,
100184,4070024,时间观察者卡片,2,1,1,1,1,1,0,107,
100185,5010061,封印的时间管理人卡片,2,1,1,1,1,1,0,201,
100186,5030008,封印的卡伦卡片,2,1,1,1,1,1,0,203,
100187,5010062,封印的冰暴骑士卡片,2,1,1,1,1,1,0,201,
100188,1200075,怀表发饰图纸,2,1,1,1,1,1,0,301,
100189,1200073,冰暴头饰图纸,2,1,1,1,1,1,0,301,
100190,1200074,冰暴面具图纸,2,1,1,1,1,1,0,301,
100191,4010074,玩具士兵卡片,2,1,1,1,1,1,100,101,
100192,4030033,巫婆卡片,2,1,1,1,1,1,100,103,
100193,4050017,钟怪卡片,2,1,1,1,1,1,100,105,
100194,4070022,钟塔守护者卡片,2,1,1,1,1,1,100,107,
100195,4010077,卡伦宝宝卡片,2,1,1,1,1,1,100,101,
100196,4030036,古钟魔卡片,2,1,1,1,1,1,100,103,
100197,4040026,长者魔导士卡片,2,1,1,1,1,1,100,104,
100198,4010079,玩具国王卡片,2,1,1,1,1,1,100,101,
100199,4070024,时间观察者卡片,2,1,1,1,1,1,100,107,
100200,1200075,怀表发饰图纸,2,1,1,1,1,1,100,301,
100201,1200073,冰暴头饰图纸,2,1,1,1,1,1,100,301,
100202,1200074,冰暴面具图纸,2,1,1,1,1,1,100,301,
100203,5010011,封印的海盗之王卡片,2,1,1,1,1,1,65,201,
100204,5010037,封印的皮里恩卡片,2,1,1,1,1,1,75,201,
100205,5010053,封印的德古拉伯爵卡片,2,1,1,1,1,1,80,201,
100206,5010058,封印的死灵卡片,2,1,1,1,1,1,80,201,
100207,5010018,封印的巴风特卡片,2,1,1,1,1,1,90,201,
100208,5020002,封印的黄金虫卡片,2,1,1,1,1,1,45,202,
100209,5020004,封印的蚁后卡片,2,1,1,1,1,1,55,202,
100210,5030007,封印的天使波利卡片,2,1,1,1,1,1,35,203,
100211,5030019,封印的兽人酋长卡片,2,1,1,1,1,1,60,203,
100212,5040003,封印的恶魔波利卡片,2,1,1,1,1,1,45,204,
100213,5050009,封印的虎王卡片,2,1,1,1,1,1,65,205,
100214,5050011,封印的月夜猫卡片,2,1,1,1,1,1,75,205,
100215,5060019,封印的俄塞里斯卡片,2,1,1,1,1,1,70,206,
100216,5070007,封印的蜂后卡片,2,1,1,1,1,1,70,207,
100217,5070009,封印的法老王卡片,2,1,1,1,1,1,85,207,
100218,5070012,封印的兽人英雄卡片,2,1,1,1,1,1,55,207,
100219,5060020,封印的鹗枭男爵卡片,2,1,1,1,1,1,85,206,
100220,5020005,封印的凯美拉卡片,2,1,1,1,1,1,85,203,
100221,5050012,封印的黑暗之王卡片,2,1,1,1,1,1,85,205,
100222,5010060,封印的血腥骑士卡片,2,1,1,1,1,1,90,201,
100223,5010061,封印的时间管理人卡片,2,1,1,1,1,1,115,201,
100224,5030008,封印的卡伦卡片,2,1,1,1,1,1,115,203,
100225,5010062,封印的冰暴骑士卡片,2,1,1,1,1,1,115,201,
100226,5030009,封印的塔奥群卡卡片,2,1,1,1,1,1,0,203,
100227,5010063,封印的半龙人卡片,2,1,1,1,1,1,0,201,
100228,4010087,流氓头头卡片,2,1,1,1,1,1,0,101,
100229,4030040,米杜沙女王卡片,2,1,1,1,1,1,0,103,
100230,4070025,愤怒钟乳巨石怪卡片,2,1,1,1,1,1,0,107,
100231,4010087,流氓头头卡片,2,1,1,1,1,1,100,101,
100232,4030040,米杜沙女王卡片,2,1,1,1,1,1,100,103,
100233,4070025,愤怒钟乳巨石怪卡片,2,1,1,1,1,1,100,107,
100234,4010086,奈利虫卡片,2,1,1,1,1,1,100,101,
100235,4010086,奈利虫卡片,2,1,1,1,1,1,0,101,
100236,4010083,贝壳魔灵卡片,2,1,1,1,1,1,100,101,
100237,4010083,贝壳魔灵卡片,2,1,1,1,1,1,0,101,
100238,1200080,塔奥群卡图纸,2,1,1,1,1,1,0,301,
100239,1200081,半龙人图纸,2,1,1,1,1,1,0,301,
100240,1200080,塔奥群卡图纸,2,1,1,1,1,1,100,301,
100241,1200081,半龙人图纸,2,1,1,1,1,1,100,301,
100242,1200082,流氓头头图纸,2,1,1,1,1,1,0,301,
100243,1200083,愤怒钟乳巨石怪纸,2,1,1,1,1,1,0,301,
100244,1200084,米杜沙女王图纸,2,1,1,1,1,1,0,301,
100245,1200082,流氓头头图纸,2,1,1,1,1,1,95,301,
100246,1200083,愤怒钟乳巨石怪纸,2,1,1,1,1,1,95,301,
100247,1200084,米杜沙女王图纸,2,1,1,1,1,1,95,301,
