OrnamentID,OrnamentName,OrnamentType,SortID,OrnamentFrame,Coloration,UsedForPreview,ItemQuality,ResolveAmount,ExpendZeny,ItemGrade,AttrLuxury,AttrMaturity,AttrElegancy,AttrRomance,AttrDarkTone,IsShare,IsHide,LocalizationArea,
配饰ID,配饰名称,类型（1头部 2脸部 3嘴部 4背部 5尾巴）,排序,边框,染色,是否在创角时显示,道具品质(1C 1B 3A 4S 0无品质不显示)策划用，先和item表的更新为一致的！！,分解后获得对应材料的数量(获得物品ID=下限=上限）,分解头饰所需要花费的zeny币数量,道具级别（1普通 2稀有 3限定）,简约-100<=>华丽100,活泼-100<=>成熟100,邪气-100<=>正义100,清凉-100<=>保暖100,亮色-100<=>暗色100,是否支持分享（0不支持1支持）,是否在衣橱隐藏（0显示 1隐藏）默认值为0,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）,（策划用不需要翻译）备注：未配置属性|无图标|未优化|未配置时尚评分和通用发型
1070119,魔物图鉴头饰1阶,1,1001,0,,1,1,2034003=1=3,10000,1,50,-50,-50,50,-50,1,,,
1070016,波利帽,1,1002,0,,1,1,2034003=1=3,10000,1,-42,-60,20,60,-40,1,,,
1070031,蛋壳帽,1,1003,0,,1,1,2034003=1=3,10000,1,-70,-66,-20,40,-20,1,,,
1070051,触角头饰,1,1004,0,,1,1,2034003=1=3,10000,1,-62,-66,-20,-40,-25,1,,,
1070013,红蝶发带,1,1005,0,,1,1,2034003=1=3,10000,1,34,-64,40,-40,-40,1,,,
1070017,头箍,1,1006,0,,1,1,2034003=1=3,10000,1,-64,30,20,-60,-40,1,,,
1070026,紫蝶发带,1,1007,0,,1,1,2034003=1=3,10000,1,-52,58,28,-50,20,1,,,
1080015,小丑鼻子,2,1008,0,,1,1,2034003=1=3,10000,1,-50,-66,-52,-46,-20,0,,,
1080016,OK绷,2,1009,0,,1,1,2034003=1=3,10000,1,-72,-50,-62,20,-20,0,,,
1090005,胡须,3,1010,0,,1,1,2034003=1=3,10000,1,-62,-40,40,56,-20,0,,,
1090006,口罩,3,1011,0,,1,1,2034003=1=3,10000,1,-64,46,20,72,-20,0,,,
1070060,火线头饰,1,1012,0,,1,1,2034003=1=3,10000,1,-60,-40,-30,45,-37,1,,,
1070143,耳机,1,1013,0,,1,1,2034003=1=3,10000,1,-80,-70,-40,40,-20,1,,,
1070073,变身树叶,1,1014,0,,1,1,2034003=1=3,10000,1,-40,-20,50,-60,-50,1,,,
1070074,草帽,1,1015,0,,1,1,2034003=1=3,10000,1,-60,40,20,-20,-80,1,,,
1070120,魔物图鉴头饰2阶,1,2001,0,,1,2,2034003=1=3,10000,1,60,-60,-60,50,-60,1,,,
1070054,兽角头饰,1,2002,0,,1,2,2034003=1=3,10000,1,-89,58,-70,-58,-34,1,,,
1080020,白色眼罩,2,2003,0,,1,2,2034003=1=3,10000,1,-40,40,50,-50,-50,0,,,
1070002,金属头盔,1,2004,0,,1,2,2034003=4=6,10000,1,52,50,84,32,-50,1,,,
1070034,魔法师帽,1,2005,0,,1,2,2034003=4=6,10000,1,56,50,80,32,60,1,,,
1070035,圣职之帽,1,2006,0,,1,2,2034003=4=6,10000,1,-52,50,84,32,-50,1,,,
1070040,羽毛帽,1,2007,0,,1,2,2034003=4=6,10000,1,54,50,82,32,-50,1,,,
1070061,破产之哀,1,2008,0,,1,2,2034003=4=6,10000,1,-50,50,80,-38,50,1,,,
1070037,贝雷帽,1,2009,0,,1,2,2034003=4=6,10000,1,-42,-56,-72,30,40,1,,,
1070007,爱心发夹,1,2010,0,,1,2,2034003=4=6,10000,1,-74,-60,20,-40,50,1,,,
1070018,星星发夹,1,2011,0,,1,2,2034003=4=6,10000,1,-62,-66,30,-40,-50,1,,,
1070014,卡普拉发圈,1,2012,0,,1,2,2034003=4=6,10000,1,38,-68,60,20,-48,1,,,
1070020,厨师帽,1,2013,0,,1,2,2034003=4=6,10000,1,-46,58,30,58,-40,1,,,
1070024,普隆德拉军帽,1,2014,0,,1,2,2034003=4=6,10000,1,-40,50,71,60,20,1,,,
1070043,宝石头盔,1,2015,0,,1,2,2034003=4=6,10000,1,54,40,40,40,-40,1,,,
1070044,兽人头盔,1,2016,0,,1,2,2034003=4=6,10000,1,-40,50,-50,40,34,1,,,
1070045,僵尸帽,1,2017,0,,1,2,2034003=4=6,10000,1,20,-32,-80,40,52,1,,,
1070046,护士帽,1,2018,0,,1,2,2034003=4=6,10000,1,-62,62,70,-40,-40,1,,,
1070055,印地安发箍,1,2019,0,,1,2,2034003=4=6,10000,1,44,-52,30,-52,-37,1,,,
1070056,海盗头巾,1,2020,0,,1,2,2034003=4=6,10000,1,-52,30,-71,-45,60,1,,,
1070058,妖道帽,1,2021,0,,1,2,2034003=4=6,10000,1,20,-32,-80,40,40,1,,,
1070059,向日葵头饰,1,2022,0,,1,2,2034003=4=6,10000,1,42,-66,56,-20,-52,1,,,
1070066,眼镜头饰,1,2023,0,,1,2,2034003=4=6,10000,1,-58,42,30,-57,-27,1,,,
1070144,防风皮革眼镜,1,2024,0,,1,2,2034003=4=6,10000,1,-34,40,42,60,42,1,,,
1070003,苹果头饰,1,2025,0,,1,2,2034003=4=6,10000,1,-56,-60,40,-58,-20,1,,,
1070012,光环,1,2026,0,,1,2,2034003=4=6,10000,1,-48,30,71,-52,-70,1,,,
1070039,竹蜻蜓发圈,1,2027,0,,1,2,2034003=4=6,10000,1,-55,-70,46,-80,-20,1,,,
1070062,牛仔帽,1,2028,0,,1,2,2034003=4=6,10000,1,-60,66,-50,62,30,1,,,
1070063,魔术师帽,1,2029,0,,1,2,2034003=4=6,10000,1,-58,69,-30,30,87,1,,,
1070142,灯泡发圈,1,2030,0,,1,2,2034003=4=6,10000,1,-60,-60,-40,40,-50,1,,,
1070145,海棠花发夹,1,2031,0,,1,2,2034003=4=6,10000,1,42,-64,30,-71,-50,1,,,
1070146,蜡烛头饰,1,2032,0,,1,2,2034003=4=6,10000,1,-56,30,-40,70,-50,1,,,
1070151,上弦月发夹,1,2033,0,,1,2,2034003=4=6,10000,1,-74,-40,42,-72,-20,1,,,
1080010,独眼龙眼罩,2,2034,0,,1,2,2034003=4=6,10000,1,-50,60,-70,20,40,0,,,
1080018,大眼睛眼镜,2,2035,0,,1,2,2034003=4=6,10000,1,-50,64,-62,-42,20,0,,9,
1080003,红晕,2,2036,0,,1,2,2034003=4=6,10000,1,-64,-88,30,-20,-20,0,,,
1080005,红色小发带,2,2037,0,,1,2,2034003=4=6,10000,1,40,-68,32,30,-40,0,,,
1080013,太阳眼镜,2,2038,0,,1,2,2034003=4=6,10000,1,-42,56,-70,-60,65,0,,,
1080019,蝴蝶假面,2,2039,0,,1,2,2034003=4=6,10000,1,52,58,-76,30,74,0,,,
1090004,含在嘴里的棒棒糖,3,2040,0,,1,2,2034003=4=6,10000,1,72,-80,40,-30,-20,0,,,
1090007,土司,3,2041,0,,1,2,2034003=4=6,10000,1,-58,-72,20,30,-40,0,,,
1070159,红蝶丝带,1,2042,0,,1,2,2034003=4=6,10000,1,-53,-62,30,-56,-40,1,,,
1070160,铃铛发带,1,2043,0,,1,2,2034003=4=6,10000,1,52,-67,32,-50,-40,1,,,
1070161,派对帽,1,2044,0,,1,2,2034003=4=6,10000,1,62,-68,-50,32,-40,1,,,
1072001,激光发射器,1,2045,0,,1,2,2034003=4=6,10000,1,51,-62,-43,-40,-50,1,,,
1070005,兔耳发圈,1,2046,0,,1,2,2034003=4=6,10000,1,40,-92,58,-64,-80,1,,,
1070156,音标耳机,1,2047,0,,1,2,2034003=4=6,10000,1,68,-72,-40,-60,-20,1,,,
1070042,猫耳发圈,1,2048,0,,1,2,2034003=4=6,10000,2,70,-90,60,-50,-62,1,,,
1070158,耳罩,1,2049,0,,1,2,2034003=4=6,10000,2,-60,-64,37,90,-56,1,,,
1092001,巴风特 Choco Cookie,3,2050,0,,1,2,2034003=4=6,10000,2,-58,-72,20,30,-40,0,,9,
1092002,Poring Star 草莓Cookie,3,2051,0,,1,2,2034003=4=6,10000,2,-58,-72,20,30,-40,0,,9,
1070075,诗人的帽子,1,2052,0,,1,2,2034003=4=6,10000,1,70,40,60,-30,-60,1,,,
1070076,猫爪发夹,1,2053,0,,1,2,2034003=4=6,10000,1,-60,-60,60,20,-60,1,,,
1070077,飞鸟普妮的翼饰,1,2054,0,,1,2,2034003=4=6,10000,1,70,60,60,30,-60,1,,,
1070078,蓝色卡普拉发圈,1,2055,0,,1,2,2034003=4=6,10000,1,40,60,70,40,-50,1,,9,
1070079,炸弹头饰,1,2056,0,,1,2,2034003=4=6,10000,1,30,-60,-60,40,80,1,,,
1070080,爱心泳镜,1,2057,0,,1,2,2034003=4=6,10000,1,-40,-60,60,-70,-60,1,,,
1080023,创可贴,2,2058,0,,1,2,2034003=4=6,10000,1,-60,-50,60,-50,-40,0,,,
1080022,猫爪眼罩,2,2059,0,,1,2,2034003=4=6,10000,1,-50,-50,-40,60,60,0,,,
1080025,十字星纹身贴纸,2,2060,0,,1,2,2034003=4=6,10000,1,-40,-60,-50,-60,60,0,,,
1080024,亲亲贴纸,2,2061,0,,1,2,2034003=4=6,10000,1,-40,-60,50,-60,-60,0,,,
1080026,舞会面具,2,2062,0,,1,2,2034003=4=6,10000,1,60,50,-40,-40,-40,0,,,
1080021,眼罩,2,2063,0,,1,2,2034003=4=6,10000,1,-70,50,-40,-30,40,0,,,
1090014,嘴咬口香糖,3,2064,0,,1,2,2034003=4=6,10000,2,-60,-50,40,-30,-40,0,,,
1090015,西瓜冰棒,3,2065,0,,1,2,2034003=4=6,10000,2,-50,-60,40,-50,-40,0,,,
1090016,挂耳式麦克风,3,2066,0,,1,2,2034003=4=6,10000,2,-40,-60,50,-50,30,0,,,
1090017,喵喵口罩,3,2067,0,,1,2,2034003=4=6,10000,2,50,-70,30,40,-40,0,,,
1090018,小恶魔口罩,3,2068,0,,1,2,2034003=4=6,10000,2,50,-70,-30,40,40,0,,,
1090019,小熊口罩,3,2069,0,,1,2,2034003=4=6,10000,2,50,-70,30,40,-40,0,,,
1090020,坏笑口罩,3,2070,0,,1,2,2034003=7=10,10000,2,50,-70,30,40,40,0,,,
1090028,好吃的草莓松饼,3,2071,0,,1,2,2034003=7=10,10000,2,-50,-60,40,-50,-40,0,,,
1090029,好吃的可可松饼,3,2072,0,,1,2,2034003=7=10,10000,2,-40,50,-65,60,47,0,,,
1090030,好吃的蛋黄松饼,3,2073,0,,1,2,2034003=7=10,10000,2,-58,-62,20,30,-40,0,,,
1090031,好吃的芋泥松饼,3,2074,0,,1,2,2034003=7=10,10000,2,38,-68,60,20,-48,0,,,
1090032,好吃的桂花松饼,3,2075,0,,1,2,2034003=7=10,10000,2,-62,-66,30,-40,-50,0,,,
1090033,好吃的神秘松饼,3,2076,0,,1,2,2034003=7=10,10000,2,-42,56,-70,-60,65,0,,,
1090035,小狗甜甜圈,3,2077,0,,1,2,2034003=4=6,10000,2,-57,-74,-61,41,-57,0,,,
1090036,草莓甜甜圈,3,2078,0,,1,2,2034003=4=6,10000,2,57,-74,61,40,-71,0,,,
1090037,巧克力甜甜圈,3,2079,0,,1,2,2034003=4=6,10000,2,48,-74,-61,42,64,0,,,
1070121,魔物图鉴头饰3阶,1,3001,0,,1,3,2034003=1=3,10000,1,70,-70,-70,65,-60,1,,,
1070122,魔物图鉴头饰4阶,1,3002,0,,1,3,2034003=1=3,10000,1,75,-75,-75,75,-60,1,,,
1070036,亡者发箍,1,3003,0,,1,3,2034003=7=10,10000,1,-56,50,-80,-32,-50,1,,,
1070015,丸子头饰,1,3004,0,,1,3,2034003=7=10,10000,1,36,-72,30,-34,40,1,,,
1070053,粪便帽,1,3005,0,,1,3,2034003=7=10,10000,1,-20,-20,-60,60,40,1,,,
1070057,蛇饰发箍,1,3006,0,,1,3,2034003=7=10,10000,1,65,67,-58,-32,-50,1,,,
1070070,巨大的金铃铛,1,3007,0,,1,3,2034003=7=10,10000,1,70,-72,46,-50,-64,1,,,
1080001,剑士头盔,2,3008,0,,1,3,2034003=7=10,10000,1,60,68,30,30,-20,0,,,
1090009,金属口罩,3,3009,0,,1,3,2034003=7=10,10000,1,56,50,72,30,-40,0,,,
1070065,小丑帽,1,3010,0,,1,3,2034003=7=10,10000,1,46,-64,-65,60,-40,1,,,
1070011,粉纱发圈,1,3011,0,,1,3,2034003=7=10,10000,1,-70,-64,42,-68,-40,1,,,
1070032,回忆帽,1,3012,0,,1,3,2034003=7=10,10000,1,-70,-48,50,74,-40,1,,,
1070038,霹雳雷云,1,3013,0,,1,3,2034003=7=10,10000,1,52,30,-80,-76,76,1,,,
1070041,绅士帽,1,3014,0,,1,3,2034003=7=10,10000,1,-80,80,64,68,68,1,,,
1070052,天使之吻,1,3015,0,,1,3,2034003=7=10,10000,1,78,64,67,-62,-40,1,,,
1070064,狐狸假面,1,3016,0,,1,3,2034003=7=10,10000,1,68,-64,-76,-30,-60,1,,,
1070068,出游帽子,1,3017,0,,1,3,2034003=7=10,10000,1,50,-70,40,-82,-70,1,,,
1070147,灵魂光环,1,3018,0,,1,3,2034003=7=10,10000,1,82,-60,80,-30,-60,1,,,
1070149,咪咪帽,1,3019,0,,1,3,2034003=7=10,10000,1,-54,-82,40,87,-20,1,,9,
1070153,自娱自乐箱子I,1,3020,0,,1,3,2034003=7=10,10000,1,-82,-68,20,80,20,1,,,
1070154,自娱自乐箱子II,1,3021,0,,1,3,2034003=7=10,10000,1,-82,-68,-20,80,20,1,,,
1070155,小熊帽,1,3022,0,,1,3,2034003=7=10,10000,1,-52,-82,-50,96,40,1,,,
1070009,婚礼发冠,1,3023,0,,1,3,2034003=7=10,10000,2,80,-60,60,-72,-84,1,,9,
1070023,公主冠冕,1,3024,0,,1,3,2034003=7=10,10000,2,65,-74,76,-76,-59,1,,,
1080002,妖精长耳朵饰,2,3025,0,,1,3,2034003=7=10,10000,2,70,-94,-80,-40,-20,0,,,
1090001,花叶,3,3026,0,,1,3,2034003=7=10,10000,2,-50,-86,50,-40,-40,0,,,
1090003,草叶,3,3027,0,,1,3,2034003=7=10,10000,2,-84,-66,50,-40,-40,0,,,
1090013,叼在嘴里的鱼,3,3028,0,,1,3,2034003=7=10,10000,1,40,-78,-50,-45,-40,0,,,
1090010,小孩奶嘴,3,3029,0,,1,3,2034003=7=10,10000,2,60,-96,30,30,-40,0,,,
1100001,波利背包,4,3030,0,,1,3,2034003=7=10,10000,2,-60,-90,40,30,-50,0,,,
1070157,爱唱歌的小鸟,1,3031,0,,1,3,2034003=7=10,10000,2,50,-82,40,-40,-60,1,,,
1070162,趴趴章鱼,1,3032,0,,1,3,2034003=7=10,10000,2,60,-87,-60,-50,-40,1,,,
1070163,圣诞帽,1,3033,0,,1,3,2034003=7=10,10000,2,64,-67,50,86,-40,1,,9,
1070164,神圣的音乐帽子,1,3034,0,,1,3,2034003=7=10,10000,2,70,72,78,58,-30,1,,,
1070165,跳跃的小鸡,1,3035,0,,1,3,2034003=7=10,10000,2,-50,-78,40,57,-60,1,,,
1070166,鱼头帽子,1,3036,0,,1,3,2034003=7=10,10000,2,-47,-65,-64,-57,57,1,,,
1070167,黑猫耳朵,1,3037,0,,1,3,2034003=7=10,10000,2,-74,57,-78,-62,71,1,,,
1070168,勇士之帽,1,3038,0,,1,3,2034003=7=10,10000,2,68,70,80,70,-20,1,,,
1070019,花冠,1,3039,0,,1,3,2034003=7=10,10000,2,72,-92,76,-88,-70,1,,,
1070022,懒洋洋的猫,1,3040,0,,1,3,2034003=7=10,10000,2,70,-96,-70,80,86,1,,,
1070067,小恶魔帽,1,3041,0,,1,3,2034003=7=10,10000,2,-70,-78,-94,78,97,1,,,
1070152,天使波利帽子,1,3042,0,,1,3,2034003=7=10,10000,2,76,-98,90,90,-40,1,,,
1090012,铁钉口罩,3,3043,0,,1,3,2034003=7=10,10000,2,60,67,40,70,57,0,,,
1070082,蘑菇头套,1,3044,0,,1,3,2034003=7=10,10000,1,50,-80,-60,60,-60,1,,,
1070083,讨厌的狸猫,1,3045,0,,1,3,2034003=7=10,10000,1,50,-80,-60,60,-60,1,,,
1070084,绵羊帽,1,3046,0,,1,3,2034003=7=10,10000,1,60,-80,60,70,-70,1,,,
1070085,羽毛贝雷帽,1,3047,0,,1,3,2034003=7=10,10000,1,70,-60,70,50,-60,1,,,
1070086,月桂树之冠,1,3048,0,,1,3,2034003=7=10,10000,1,-70,60,80,-50,-60,1,,,
1070087,小青蛇帽子,1,3049,0,,1,3,2034003=7=10,10000,1,-60,-80,-60,-50,-60,1,,9,
1070088,兔子耳罩,1,3050,0,,1,3,2034003=7=10,10000,1,-60,-70,60,70,-60,1,,,
1070089,小白兔软帽,1,3051,0,,1,3,2034003=7=10,10000,1,70,-70,50,80,-70,1,,,
1070090,少女礼帽,1,3052,0,,1,3,2034003=7=10,10000,1,-70,-70,50,50,-60,1,,,
1070091,兔女郎发圈,1,3053,0,,1,3,2034003=7=10,10000,1,60,70,60,50,50,1,,,
1070092,小天使头饰,1,3054,0,,1,3,2034003=7=10,10000,1,70,-80,70,60,-50,1,,,
1070093,小狗发圈,1,3055,0,,1,3,2034003=7=10,10000,1,-60,-70,70,60,-60,1,,,
1070094,圣诞麋鹿发饰,1,3056,0,,1,3,2034003=7=10,10000,1,60,-70,60,60,60,1,,9,
1070095,使道帽子,1,3057,0,,1,3,2034003=7=10,10000,1,70,70,70,60,-60,1,,9,
1070096,魔法兔耳帽子,1,3058,0,,1,3,2034003=7=10,10000,1,60,-70,60,70,-60,1,,,
1070097,小天使雕像,1,3059,0,,1,3,2034003=7=10,10000,1,-60,-70,70,50,60,1,,9,
1070098,兔子魔法帽,1,3060,0,,1,3,2034003=7=10,10000,1,70,-70,60,60,60,1,,,
1070099,鲨鱼帽,1,3061,0,,1,3,2034003=7=10,10000,1,-70,-80,-60,-60,-60,1,,,
1070100,趴趴疯兔,1,3062,0,,1,3,2034003=7=10,10000,1,-60,-80,60,70,-60,1,,9,
1070101,神奇小猫帽子,1,3063,0,,1,3,2034003=7=10,10000,1,-50,-80,-60,60,-50,1,,9,
1070102,青蛙王子头饰,1,3064,0,,1,3,2034003=7=10,10000,1,60,-70,70,-70,-60,1,,9,
1070103,波利圆帽,1,3065,0,,1,3,2034003=7=10,10000,1,70,-70,60,60,-60,1,,,
1070104,红花女冠,1,3066,0,,1,3,2034003=7=10,10000,1,-70,70,60,-60,-60,1,,9,
