Id,PreId,TogetherPreId,Name,TaskDes,Type,Chapter,ChapterName,ServerLevel,AcceptLimitBaseLevel,AcceptLimitJobLevel,PushLevel,AcceptLimitProfession,AcceptLimitSex,AcceptLimitItem,AcceptLimitIdentity,FinishLimitIdentity,FinishLimitCD,AcceptNpc,FinishNpc,ItemAfterAccept,ItemBeforeFinish,FlyAcceptType,StoryBoardId,PostcardName,Text,AcceptAutoPath,Accepttype,Finishtype,ShortcutShowType,FindwayType,AbandonType,DestroyType,LimitTask,CycleNumber,TargetSubTasks,TargetSubTaskChoose,PhasePositionSceneTask,Target1,SpecialMes1,TargetDes1,Target2,SpecialMes2,TargetDes2,Target3,SpecialMes3,TargetDes3,Target4,SpecialMes4,TargetDes4,Target5,SpecialMes5,TargetDes5,TargetRunType,TaskTrigger,IsReminder,FinishTips,NpcFavors,RewardID,DescAcceptable,DescCanFinish,TalkScript,TaskAcceptScriptTag,TaskFinishScriptTag,HideSymbol,AwardExhibition,IsShield,OpenSystemLimit,DropType,MonsterDrop,CollectDrop,LocalizationArea
任务ID（主线任务：1000000—1999999；支线任务：2000000—2999999；职业任务：3000000—3999999；日常任务：4000000—4999999；周常任务：5000000—5999999；引导任务：6000000—6999999；奇遇任务：7000000—7999999；公会任务：8000000—8999999；伊甸园任务：9000000—9999999；爱神任务：10000000—10999999；伊甸园加急：11000000—11999999；冒险任务：12000000—12999999；主题副本：13000000—13999999；生活支线：14000000—14999999）,前置任务ID（任务ID|任务ID……；满足其中一个即可，是“或”的关系，可为空）,并列前置限制（任务ID|任务ID……；不仅要完成前置ID，还需要完成这个并列限制里面的所有任务才算完成所有前置，这个字段里面的id是“与”的关系，可为空）,任务名称,任务简单描述,任务类型（1，主线任务；2，支线任务；3，职业任务；4，日常任务；5，周常任务；6，引导任务；7，奇遇任务；8，公会任务；9，伊甸园任务；10，爱神任务；11，伊甸园加急；冒险任务，类型是12；副本任务，类型是13；生活支线 14；）,所属章节,章节名（可不填）,服务器等级,接取base等级限制（最低等级=最高等级；上限或者下线无限制的地方填0）,接取job等级限制（最低等级=最高等级；上限或者下线无限制的地方填0）,推送等级：推送base等级下限=推送base隐藏等级上限,职业限制（根据职业划分，填取职业ID，可填多个中间用分号隔开；0表示全职业）,性别限制（0，男；1，女；2，无限制）,接取需求道具限制（道具ID=数量|道具ID=数量;接取的时候扣除，可为空）,接取社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,交付社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,完成时间限制（单位：秒；不填表示无限制）,接取NPC（NPCid=所在场景）,交付NPC（NPCid=所在场景）,接任务获得的任务道具（道具ID=数量|道具ID=数量，可为空）,交任务需要扣除的任务道具（道具ID=数量|道具ID=数量，可为空，任务道具给的道具记得在这里回收）,飞鸽传书类型（1.通用信封2.打开UI调用资源）,打开UI样式（对应StoryBoard表中的ID）,明信片资源名（如果是文本则不需要配）,飞鸽传书文本内容,接取后是否自动寻路（0.接取后不自动寻路1.接取后自动寻路）,接取形式（1：正常对话接取；2，自动接取；3，飞鸽传书）,交付形式（1：正常对话交付；2，自动交付）,快捷追踪方式（1，不可接取的时候就显示追踪；2，可接取的时候就显示追踪；3，接取之后才显示追踪）,寻路模式（1，自动寻路；2，引导提示；3，不能寻路，全靠自己找）,放弃类型（0不可放弃，1放弃任务重新开始，不保留目标进度，随机目标可再次随机目标2放弃任务后，重新接取任务，任务目标不变，任务目标的完成程度不保留3放弃任务后，重新接取任务，任务目标完成程度保留，从未完成的任务目标开始做）,销毁方式（本字段仅针对配置了接取等级上限的任务有效。1，普通销毁：已接取的过了等级段还保留；2，全部销毁：表示过了这个等级段不管接取与否，完成与否，强制删除）,任务限制销毁,周期内可以完成多少次（表示在一个刷新周期内这个任务可以重复完成多少次，目前仅对日常任务、周常任务有效）,任务群组（用于配置子任务list，仅是父任务组要配置；如果此处有数据，则后面的123个目标配置无效）,任务群组中子任务选取方式（1，系统随机选取1个任务给你；2，依次接取任务；3，玩家自由选取1个任务；4，伊甸园专用）,相位场景任务（默认不填；若填写，格式为相位场景ID=TriggerID|正常退出点（场景ID=X=Y=Z=朝向）|异常退出点（场景ID=X=Y=Z=朝向））,任务目标1：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,任务特殊信息,目标1描述,任务目标2：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,目标2特殊参数,目标2描述,任务目标3：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,目标3特殊参数,目标3描述,任务目标4,目标4特殊参数,目标4描述,任务目标5,目标5特殊参数,目标5描述,目标执行方式（1，并列执行；2，依次执行）,场景触发器：时机=时机参数=事件类型=事件参数=其他参数1=其他参数2=其他参数3|……（具体请查看说明文档，路径：rodoc\策划\配置说明文档）\r\n,是否在完成任务的时候飘任务完成的特效反馈,完成任务时飘字（不想飘不填即可）,NPC好感度（NPCID=好感度数值|NPCID=好感度数值，标识完成任务后给该NPC增加好感度，本字段暂时无效）,奖励ID（对应奖励表ID）,任务可接取时的描述,任务已完成时的描述,任务用脚本名字（Assets\Resources\CommandScript\Task路径下面配置任务对白文本名）,接任务剧本tag,交任务剧本tag,是否隐藏npc头顶符号,任务追踪界面奖励预览展示（配置道具ID，不配置则不显示）,是否屏蔽该任务（如果任务通过调整等级，暂时屏蔽了，需要在这里配置，默认0，不屏蔽）,功能开启限制（即使其他条件达成，也需要该功能开启后才会推送该任务，如果已经推送的任务，中途后台关闭了该功能，则也会在刷新任务列表时隐藏该任务）,任务掉落类型，1为普通任务，2为白羽团任务,怪物id=掉落道具=掉落数量=百分底掉率|怪物id=掉落道具=掉落数量=百分底掉率（接了这个任务之后，对应怪物会掉落指定道具，并且，如果任务目标是搜集该道具的话，目标达成的时候就不掉了。）,采集物id=掉落道具=掉落数量=百分底掉率|采集物id=掉落道具=掉落数量=百分底掉率（接了这个任务之后，采集成功之后，对应采集物会掉落指定道具。）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
22001010,6001000,,失落的黄金乡,,22,2200,失落的黄金乡,,35=0,0=0,35=0,,2,,0,0,1200,2000=26,0=0,,,,,,,1,1,2,3,1,1,1,,,,,,3|511051=1|25=154.10=12.22=104.38||1,,进行宝物的勘探,,,,,,,,,,,,,2,,,,,,先去领取勘测器，再去梦罗克西部寻找宝藏,在附近探索一番或许能有想不到的意外收获！,6002,Activity_22001010_accept,,0,,,,,,,11
25000000,,,新王的号角,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,1228=7,0=0,,,,,,,0,1,2,2,1,1,1,,,,,,27|4086=1|7=61.83=9.82=181.50,,查看马勒王国发布的《勇士招募令》,,,,,,,,,,,,,2,2=0=3=15205=7=64.62=9.82=198.22=167.00|4=1=22=4074,,,,1910010,卢恩盟国马勒王国希望借助冒险者的力量以特殊的方式，选拔下任的新王。应召者会获得丰厚的报酬，感兴趣的话就去普隆德拉骑士团问问吧,,6008,Activity_25000000_accept,,0,,,,,,,9
25000010,25000000,,新王的号角,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15205=7,0=0,,,,,,,0,1,2,2,1,0,1,,,25000011|25000012,3,,16|0=1|,,,,,,,,,,,,,,,2,,,,,1910020,确定了参与意愿，在马勒王国的大臣处登记，并完成相应测试,,6008,Activity_25000010_accept,,0,,,,,,,9
25000011,,,新王的号角（1/15）|选择加入吉永王子阵营,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15205=7,15205=7,,,,,,,0,1,1,2,1,0,1,,,,,,5|0=1|7=62.09=9.82=193.35,,参与殿前试炼，击败来自马勒的勇士,7|2307=1||7=62.09=9.82=193.35,,参与殿前试炼，击败来自马勒的勇士，通过武力测试,27|4087=1|7=64.57=9.82=196.56,,通过意向度选择和武力测试，去马勒大臣那里领取推荐书,,,,,,,2,4=1=1=2307|4=2=2=2307|2=0=22=4073,,,,1910030,,询问马勒王国大臣后面要去哪里做什么,6008,Activity_25000011_accept,Activity_25000011_finish,0,,,,,,,9
25000012,,,新王的号角（1/15）|选择加入克勒亚王子阵营,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15205=7,15205=7,,,,,,,0,1,1,2,1,0,1,,,,,,5|0=1|7=62.09=9.82=193.35,,参与殿前试炼，击败来自马勒的勇士,7|2307=1||7=62.09=9.82=193.35,,参与殿前试炼，击败来自马勒的勇士，通过武力测试,27|4087=1|7=64.57=9.82=196.56,,通过意向度选择和武力测试，去马勒大臣那里领取推荐书,,,,,,,2,4=1=1=2307|4=2=2=2307|2=0=22=4073,,,,1910040,,询问马勒王国大臣后面要去哪里做什么,6008,Activity_25000011_accept,Activity_25000011_finish,0,,,,,,,9
25000021,25000011,,新王的号角（2/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15206=27,15207=27,,,,,,,0,1,1,2,1,1,1,,,,,,5|0=1|27=108.55=11.46=102.98=226.00,,前往皇宫走廊中央寻找隐秘的刺客,7|2308=1||27=107.94=11.46=101.5,,解决隐秘的刺客,3|200619=1|27=107.01=11.46=100.92,,捡起刺客掉落的信件,1|15207=27,Activity_25000021_exec,前往会客室，将获得的信件交给吉永王子,27|4088=1|27=131.38=11.46=71.17,,王子说你通过了忠诚度测试，这封信其实是马勒王国军官写给你的，打开并阅读信件,2,5=0=3=15206=27=112.22=11.46=109.66=189.00|3=0=4=15206|4=1=1=2308|4=2=2=2308|4=2=11=200619=1=27=107.94=11.46=101.5|4=3=12=200619=1|4=3=3=15207=27=130.08=11.46=69.88=30.00|3=0=4=15207|2=0=22=4071|4=3=14=1=0=10990,,,,1910050,前往皇宫走廊寻找王子的侍从,得知了第一位军官的考验，与王子道别,6008,Activity_25000021_accept,Activity_25000021_finish,0,,,,,,,9
25000022,25000012,,新王的号角（2/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15206=27,15208=27,,,,,,,0,1,1,2,1,1,1,,,,,,5|0=1|27=108.55=11.46=102.98=226.00,,前往皇宫走廊中央寻找隐秘的刺客,7|2308=1||27=107.94=11.46=101.5,,解决隐秘的刺客,3|200619=1|27=107.01=11.46=100.92,,捡起刺客掉落的信件,1|15208=27,Activity_25000021_exec,前往会客室，将获得的信件交给克勒亚王子,27|4088=1|27=131.38=11.46=71.17,,王子说你通过了忠诚度测试，这封信其实是马勒王国军官写给你的，打开并阅读信件,2,5=0=3=15206=27=112.22=11.46=109.66=189.00|3=0=4=15206|4=1=1=2308|4=2=2=2308|4=2=11=200619=1=27=107.94=11.46=101.5|4=3=12=200619=1|4=3=3=15208=27=130.08=11.46=69.88=30.00|3=0=4=15208|2=0=22=4071|4=3=14=1=0=10990,,,,1910060,前往皇宫走廊寻找王子的侍从,得知了第一位军官的考验，与王子道别,6008,Activity_25000021_accept,Activity_25000021_finish,0,,,,,,,9
25000030,25000021|25000022,,新王的号角（3/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,0=0,0=0,,,,,,,0,2,2,2,1,1,1,,,,,,5|0=1|7=131.73=10.79=220.24,,前往信中提到的地方寻找虔诚的信仰者,1|15209=7,Activity_25000030_exec,教堂旁有个人，询问是否是你找的那位,7|2309=1||7=135.43=10.78=220.54,,击败虔诚的信仰者，获得她的认可,,,,,,,2,4=2=1=2309|4=3=2=2309|1=0=4=15205|1=0=3=15209=7=138.79=10.78=220.24=281.00|2=0=3=15210=7=172.42=10.78=218.84=86.00|4=1=14=1=0=10997,,,,1910070,,,6008,,,0,,,,,,,9
25000040,25000030,,新王的号角（4/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15209=7,0=0,,,,,,,0,1,2,2,1,1,1,,,,,,5|0=1|7=167.67=10.78=207.39,,虔诚的信仰者告诉你下一个目标是前往教堂旁的墓地一位军士，他应该正在祭奠自己的战友,1|15210=7,Activity_25000040_exec,询问墓地的祭奠者，找寻信仰者所说的军士,37|3=1,,稍等片刻,5|0=1|7=148.78=9.83=195.04,,跟着忧伤的军士，换个战斗的地方,7|2310=1||7=148.78=9.83=195.04,,战胜忧伤的军士,2,4=4=1=2310|2=0=2=2310|1=0=4=15209|4=4=4=15210|4=2=15=25000041|4=3=15=25000040|4=4=3=15211=7=149.80=9.83=191.81=11.00|4=3=14=2=15210=10998|4=1=14=1=0=10996,,,,1910080,已经打败了虔诚的信仰者，她似乎有话要说,,6008,Activity_25000040_accept,,0,,,,,,,9
25000050,25000040,,新王的号角（5/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15211=7,15212=70,,,,,,,0,1,1,2,1,1,1,,,,,,27|4089=1|7=150.08=9.82=193.52,,阅读神匠·奥瑞特的留言,5|0=1|7=150.60=10.79=199.25,,通过军士开启的传送门，前往军官神匠·奥瑞特所在的地方,1|15212=70,Activity_25000050_exec,神匠·奥瑞特似乎已经等候多时,5|0=1|70=89.80=14.41=164.58,,前往试炼区，准备开始战斗,7|2311=1||70=89.80=14.41=164.58,,击败神匠·奥瑞特，获得他的认可,2,4=4=1=2311|2=0=2=2311|4=2=4=15211|4=1=24=2690967=7=150.60=10.79=199.25|4=3=25=2690967|4=2=18=70=89.82=14.40=167.97=180|4=2=3=15212=70=89.80=14.28=156.97=359.00|2=0=3=15213=58=50.01=10.73=68.57=180.00|4=1=22=4072,,,,1910090,已经打败了忧伤的军士，询问神匠·奥瑞特的所在,已经打败了神匠·奥瑞特，聆听他的教诲,6008,Activity_25000050_accept,Activity_25000050_finish,0,,,,,,,9
25000060,25000050,,新王的号角（6/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15213=58,0=0,,,,,,,0,3,2,2,1,1,1,,,,,,5|0=1|58=49=10.71=62,,按照信件内容所指，前往梦罗克监狱之中,7|2312=1||58=49=10.71=62,,监狱弥漫着一股杀气，击败哈那尼的护卫,,,,,,,,,,2,4=1=1=2312|2=0=2=2312|4=1=4=15212|4=2=14=1=0=10995,,,,1910100,收到了一封信，从火漆印章判断和下一位马勒王国军官有关,,6008,,,0,,,,,,,9
25000070,25000060,,新王的号角（7/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15213=58,0=0,,,,,,,0,1,2,2,1,1,1,,,,,,5|0=1|25=77.57=12.21=92.68,,前往梦罗克西部，寻找爱财的佣兵，据说在狮身人面像后面正盘算着怎么挖到宝藏,1|15214=25,Activity_25000070_exec,哈那尼所说的地方，果然有一个人等着，似乎在盘算这什么,7|2313=1||25=73.39=12.21=95.45,,看来他还没有完全被财富腐蚀，只能动用武力了,,,,,,,2,4=2=1=2313|2=0=2=2313|4=1=4=15213|1=0=3=15214=25=71.41=12.21=95.86=85.00|4=1=14=1=0=10994,,,,1910110,询问苦行者·哈那尼，获取认可的考验内容是什么,,6008,Activity_25000070_accept,,0,,,,,,,9
25000080,25000070,,新王的号角（8/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15214=25,0=0,,,,,,,0,1,2,2,1,1,1,,,,,,5|0=1|25=63.27=12.21=108.41,,佣兵告诉你，有不喜欢声音的怪人就在附近，那是你的下一个目标,27|4090=1|25=60.22=12.21=110.55,,吹响口哨，引出下个目标,7|2314=1||25=60.22=12.21=110.55,,让人意想不到的是，口哨声引出了两个人！先击败他们再说吧,,,,,,,2,4=2=1=2314|2=0=2=2314|4=1=4=15214|4=1=14=1=0=10993|2=0=3=15215=25=60.21=12.21=116.79=180.00,,,,1910120,爱财的佣兵这么急切的寻找宝藏一定有他的用途，试图了解一下,,6008,Activity_25000080_accept,,0,,,,,,,9
25000090,25000080,,新王的号角（9/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15215=25,0=0,,,,,,,0,1,2,2,1,1,1,,,,,,5|0=1|25=134.98=12.21=140.47,,他告诉你了流浪剑客所在，去找找吧<color=$$Blue$$>（需要攀爬到金字塔顶寻找流浪剑客）</color>,1|15216=25,Activity_25000090_exec,爬上金字塔顶，找到流浪剑客,7|2315=1||25=133.94=21.35=150.22,,决战梦罗克西部之巅，击败流浪剑客,,,,,,,2,4=2=1=2315|2=0=2=2315|4=1=14=1=0=10992|4=1=4=15215|4=1=3=15216=25=133.51=21.35=152.18=356.00,,,,1910130,你击败了他们，其中一人似乎有话要说,,6008,Activity_25000090_accept,,0,,,,,,,9
25000100,25000090,,新王的号角（10/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15216=25,15217=70,,,,,,,0,1,1,2,1,1,1,,,,,,5|0=1|25=135.45=21.35=148.91,,通过流浪剑客开启的传送门，前往下一个军官所在的地方,1|15217=70,Activity_25000100_exec,完成了哈那尼的三个考验，是时候挑战她了,5|0=1|70=89.80=14.41=164.58,,前往试炼区，准备开始战斗,7|2316=1||70=89.82=14.40=167.97,,击败苦行者·哈那尼，获得她的认可,,,,2,1=0=24=2690968=25=135.45=21.35=148.91|1=0=3=15217=70=89.8=14.28=156.97=359|4=1=18=70=89.82=14.4=160=180|4=2=4=15216|4=3=1=2316|4=3=25=2690968|2=0=2=2316|3=0=4=15217,,,,1910140,流浪剑客声音沧桑，一定有他自己的故事,询问哈那尼的下一步安排,6008,Activity_25000100_accept,Activity_25000100_finish,0,,,,,,,9
25000111,25000100,25000011,新王的号角（11/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,0=0,15218=70,,,,,,,0,2,1,2,1,1,1,,,,,,5|0=1|70=100.07=14.30=167.39,,前往皇宫书房，会见吉永王子,7|2317=1||70=107.27=14.53=168.76,,解决突袭的暗杀者,,,,,,,,,,2,4=1=1=2317|2=0=2=2317|1=0=3=15218=70=116.38=16.00=169.64=293.00|3=0=3=15220=70=89.80=14.28=156.97=359.00,,,,1910150,,还好有惊无险，询问王子是否受伤,6008,,Activity_25000111_finish,0,,,,,,,9
25000112,25000100,25000012,新王的号角（11/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,0=0,15219=70,,,,,,,0,2,1,2,1,1,1,,,,,,5|0=1|70=100.07=14.30=167.39,,前往皇宫书房，会见克勒亚王子,7|2317=1||70=107.27=14.53=168.76,,解决突袭的暗杀者,,,,,,,,,,2,4=1=1=2317|2=0=2=2317|1=0=3=15219=70=116.38=16.00=169.64=293.00|3=0=3=15220=70=89.80=14.28=156.97=359.00,,,,1910160,,还好有惊无险，询问王子是否受伤,6008,,Activity_25000111_finish,0,,,,,,,9
25000120,25000111|25000112,,新王的号角（12/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15220=70,0=0,,,,,,,0,1,2,2,1,1,1,,,,,,7|2318=1||70=89.86=14.31=159.52,,击败心魔·悲哀，通过剑圣·帝亚拉的第一道幻境,,,,,,,,,,,,,2,1=0=1=2318|4=1=2=2318,,,,1910170,看来必须要加快进程了，到大厅找最后一位军官帝亚拉，想办法获得他的认可,,6008,Activity_25000120_accept,,0,,,,,,,9
25000130,25000120,,新王的号角（13/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15220=70,0=0,,,,,,,0,1,2,2,1,1,1,,,,,,7|2319=1||70=89.86=14.31=159.52,,击败心魔·憎恨，通过剑圣·帝亚拉的第二道幻境,,,,,,,,,,,,,2,1=0=1=2319|4=1=2=2319,,,,1910180,通过了第一层幻境，告诉帝亚拉,,6008,Activity_25000130_accept,,0,,,,,,,9
25000140,25000130,,新王的号角（14/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15220=70,0=0,,,,,,,0,1,2,2,1,1,1,,,,,,7|2320=1||70=89.86=14.31=159.52,,击败心魔·绝望，通过剑圣·帝亚拉的第三道幻境,,,,,,,,,,,,,2,1=0=1=2320|4=1=2=2320,,,,1910190,通过了第二层幻境，告诉帝亚拉,,6008,Activity_25000140_accept,,0,,,,,,,9
25000151,25000140,25000011|25000111,新王的号角（15/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15220=70,15218=70,,,,,,,0,1,1,2,1,1,1,,,,,,5|0=1|70=89.80=14.41=164.58,,前往试炼区，准备开始战斗,7|2321=1||70=89.82=14.40=167.97,,击败剑圣·帝亚拉，获得最终的认可,1|15220=70,Activity_25000151_exec,终于完成了所有的考验，帝亚拉似乎有话想说,,,,,,,2,4=1=1=2321|4=2=2=2321|3=0=4=15218|3=0=4=15220,,,,1910200,通过了全部的环境，告诉帝亚拉,将帝亚拉的话带给王子,6008,Activity_25000151_accept,Activity_25000151_finish,0,,,,,,,9
25000152,25000140,25000012|25000112,新王的号角（15/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15220=70,15219=70,,,,,,,0,1,1,2,1,1,1,,,,,,5|0=1|70=89.80=14.41=164.58,,前往试炼区，准备开始战斗,7|2321=1||70=89.82=14.40=167.97,,击败剑圣·帝亚拉，获得最终的认可,1|15220=70,Activity_25000151_exec,终于完成了所有的考验，帝亚拉似乎有话想说,,,,,,,2,4=1=1=2321|4=2=2=2321|3=0=4=15219|3=0=4=15220,,,,1910210,通过了全部的幻境，告诉帝亚拉,将帝亚拉的话带给王子,6008,Activity_25000151_accept,Activity_25000151_finish,0,,,,,,,9
